date,exchange_rate
2009-01-02 | 0
2009-01-05 | 0
2009-01-08 | 0
2009-01-11 | 0
2009-01-14 | 0
2009-01-17 | 0
2009-01-20 | 0
2009-01-23 | 0
2009-01-26 | 0
2009-01-29 | 0
2009-02-01 | 0
2009-02-04 | 0
2009-02-07 | 0
2009-02-10 | 0
2009-02-13 | 0
2009-02-16 | 0
2009-02-19 | 0
2009-02-22 | 0
2009-02-25 | 0
2009-02-28 | 0
2009-03-03 | 0
2009-03-06 | 0
2009-03-09 | 0
2009-03-12 | 0
2009-03-15 | 0
2009-03-18 | 0
2009-03-21 | 0
2009-03-24 | 0
2009-03-27 | 0
2009-03-31 | 0
2009-04-03 | 0
2009-04-06 | 0
2009-04-09 | 0
2009-04-12 | 0
2009-04-15 | 0
2009-04-18 | 0
2009-04-21 | 0
2009-04-24 | 0
2009-04-27 | 0
2009-04-30 | 0
2009-05-03 | 0
2009-05-06 | 0
2009-05-09 | 0
2009-05-12 | 0
2009-05-15 | 0
2009-05-18 | 0
2009-05-21 | 0
2009-05-24 | 0
2009-05-27 | 0
2009-05-30 | 0
2009-06-02 | 0
2009-06-05 | 0
2009-06-08 | 0
2009-06-11 | 0
2009-06-14 | 0
2009-06-17 | 0
2009-06-20 | 0
2009-06-23 | 0
2009-06-26 | 0
2009-06-29 | 0
2009-07-02 | 0
2009-07-05 | 0
2009-07-08 | 0
2009-07-11 | 0
2009-07-14 | 0
2009-07-17 | 0
2009-07-20 | 0
2009-07-23 | 0
2009-07-26 | 0
2009-07-29 | 0
2009-08-01 | 0
2009-08-04 | 0
2009-08-07 | 0
2009-08-10 | 0
2009-08-13 | 0
2009-08-16 | 0
2009-08-19 | 0
2009-08-22 | 0
2009-08-25 | 0
2009-08-28 | 0
2009-08-31 | 0
2009-09-03 | 0
2009-09-06 | 0
2009-09-09 | 0
2009-09-12 | 0
2009-09-15 | 0
2009-09-18 | 0
2009-09-21 | 0
2009-09-24 | 0
2009-09-27 | 0
2009-09-30 | 0
2009-10-03 | 0
2009-10-06 | 0
2009-10-09 | 0
2009-10-12 | 0
2009-10-15 | 0
2009-10-18 | 0
2009-10-21 | 0
2009-10-24 | 0
2009-10-26 | 0
2009-10-29 | 0
2009-11-01 | 0
2009-11-04 | 0
2009-11-07 | 0
2009-11-10 | 0
2009-11-13 | 0
2009-11-16 | 0
2009-11-19 | 0
2009-11-22 | 0
2009-11-25 | 0
2009-11-28 | 0
2009-12-01 | 0
2009-12-04 | 0
2009-12-07 | 0
2009-12-10 | 0
2009-12-13 | 0
2009-12-16 | 0
2009-12-19 | 0
2009-12-22 | 0
2009-12-25 | 0
2009-12-28 | 0
2009-12-31 | 0
2010-01-03 | 0
2010-01-06 | 0
2010-01-09 | 0
2010-01-12 | 0
2010-01-15 | 0
2010-01-18 | 0
2010-01-21 | 0
2010-01-24 | 0
2010-01-27 | 0
2010-01-30 | 0
2010-02-02 | 0
2010-02-05 | 0
2010-02-08 | 0
2010-02-11 | 0
2010-02-14 | 0
2010-02-17 | 0
2010-02-20 | 0
2010-02-23 | 0
2010-02-26 | 0
2010-03-01 | 0
2010-03-04 | 0
2010-03-07 | 0
2010-03-10 | 0
2010-03-13 | 0
2010-03-16 | 0
2010-03-19 | 0
2010-03-22 | 0
2010-03-25 | 0
2010-03-29 | 0
2010-04-01 | 0
2010-04-04 | 0
2010-04-07 | 0
2010-04-10 | 0
2010-04-13 | 0
2010-04-16 | 0
2010-04-19 | 0
2010-04-22 | 0
2010-04-25 | 0
2010-04-28 | 0
2010-05-01 | 0
2010-05-04 | 0
2010-05-07 | 0
2010-05-10 | 0
2010-05-13 | 0
2010-05-16 | 0
2010-05-19 | 0
2010-05-22 | 0
2010-05-25 | 0
2010-05-28 | 0
2010-05-31 | 0
2010-06-03 | 0
2010-06-06 | 0
2010-06-09 | 0
2010-06-12 | 0
2010-06-15 | 0
2010-06-18 | 0
2010-06-21 | 0
2010-06-24 | 0
2010-06-27 | 0
2010-06-30 | 0
2010-07-03 | 0
2010-07-06 | 0
2010-07-09 | 0
2010-07-12 | 0
2010-07-15 | 0
2010-07-18 | 0
2010-07-21 | 0
2010-07-24 | 0
2010-07-27 | 0
2010-07-30 | 0
2010-08-02 | 0
2010-08-05 | 0
2010-08-08 | 0
2010-08-11 | 0
2010-08-14 | 0
2010-08-17 | 0
2010-08-20 | 0.07
2010-08-23 | 0.07
2010-08-26 | 0.07
2010-08-29 | 0.06
2010-09-01 | 0.06
2010-09-04 | 0.06
2010-09-07 | 0.06
2010-09-10 | 0.06
2010-09-13 | 0.06
2010-09-16 | 0.15
2010-09-19 | 0.06
2010-09-22 | 0.06
2010-09-25 | 0.06
2010-09-28 | 0.06
2010-10-01 | 0.06
2010-10-04 | 0.06
2010-10-07 | 0.06
2010-10-10 | 0.12
2010-10-13 | 0.1
2010-10-16 | 0.12
2010-10-19 | 0.1
2010-10-22 | 0.11
2010-10-25 | 0.18
2010-10-28 | 0.19
2010-10-31 | 0.19
2010-11-02 | 0.21
2010-11-05 | 0.25
